epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.3465,2.89858,3.91599,4.2472,0.00472,1,0.00839,0.00219,2.80089,3.73822,4.15805,0.00016,0.00016,0.00016
2,73.9959,2.95372,3.73957,4.20739,0.00472,1,0.01205,0.0025,2.79771,3.73323,4.15357,0.000333268,0.000333268,0.000333268
3,104.652,2.96136,3.5438,4.08121,0.00472,1,0.00973,0.00274,2.78812,3.71763,4.14807,0.000499408,0.000499408,0.000499408
4,134.659,2.69414,3.32431,3.84195,0.00472,1,0.01015,0.00259,2.7694,3.69027,4.1498,0.00065842,0.00065842,0.00065842
5,166.815,2.82255,3.04831,3.74512,0.00472,1,0.01132,0.00292,2.70123,3.63069,4.1721,0.000810304,0.000810304,0.000810304
6,198.065,2.6185,2.97851,3.51005,0.00444,0.94118,0.0103,0.00303,2.66752,3.60286,4.21397,0.00095506,0.00095506,0.00095506
7,230.345,2.71769,2.92385,3.52432,0.00472,1,0.01015,0.00301,2.65845,3.59094,4.25511,0.00109269,0.00109269,0.00109269
8,260.804,2.58941,2.76746,3.36902,0.00472,1,0.01226,0.00328,2.67742,3.59124,4.23559,0.00122319,0.00122319,0.00122319
9,294.037,2.5015,2.69037,3.24247,0.00472,1,0.01464,0.00387,2.69406,3.62464,4.2119,0.00134656,0.00134656,0.00134656
10,324.391,2.56163,2.69724,3.24726,0.00531,1,0.01533,0.00412,2.66715,3.6299,4.25975,0.0014628,0.0014628,0.0014628
11,355.902,2.51336,2.60598,3.23297,0.00623,1,0.02064,0.00474,2.73332,3.62421,4.15237,0.00157192,0.00157192,0.00157192
12,386.129,2.63048,2.52059,3.23966,0.00549,0.94118,0.02498,0.00481,2.97383,3.49746,4.04925,0.0015644,0.0015644,0.0015644
13,416.632,2.39955,2.32713,3.06285,0.00786,1,0.01689,0.00399,2.896,3.54935,4.16134,0.0015248,0.0015248,0.0015248
14,446.075,2.12994,2.28467,3.01562,0.00525,1,0.02272,0.00487,3.02674,3.50944,3.80474,0.0014852,0.0014852,0.0014852
15,475.652,2.35113,2.211,2.96861,0.08056,0.35294,0.10302,0.04581,2.21574,3.00105,3.26401,0.0014456,0.0014456,0.0014456
16,506.814,2.28881,2.18642,2.97934,0.76097,0.52941,0.62528,0.23497,2.06642,2.53925,3.17063,0.001406,0.001406,0.001406
17,537.612,2.04615,2.05383,2.82922,0.48108,0.29412,0.39463,0.15337,2.07175,2.6321,3.19987,0.0013664,0.0013664,0.0013664
18,572.46,2.14837,1.92062,2.89799,0.92287,0.70394,0.78233,0.33598,2.18123,2.15491,3.22232,0.0013268,0.0013268,0.0013268
