epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.1507,3.28317,3.73948,4.25839,0.00228,0.48148,0.00932,0.00251,3.09427,3.99762,4.15741,0.00016,0.00016,0.00016
2,71.1309,3.25574,3.63297,4.20991,0.00211,0.44444,0.01064,0.00292,3.08694,3.99364,4.15099,0.000333268,0.000333268,0.000333268
3,102.548,3.22968,3.55229,4.1535,0.00228,0.48148,0.02106,0.00413,3.07435,3.97448,4.13892,0.000499408,0.000499408,0.000499408
4,135.015,3.17924,3.47931,4.09979,0.00211,0.44444,0.01199,0.00286,3.03861,3.94319,4.1145,0.00065842,0.00065842,0.00065842
5,166.508,3.11317,3.46654,4.02853,0.00228,0.48148,0.01256,0.00333,2.9917,3.93073,4.06385,0.000810304,0.000810304,0.000810304
6,199.379,3.05689,3.40305,3.94858,0.00211,0.44444,0.09935,0.01963,2.98688,3.88448,4.02543,0.00095506,0.00095506,0.00095506
7,231.483,3.04629,3.40017,3.81902,0.00211,0.44444,0.05058,0.00887,3.01419,3.81246,4.00149,0.00109269,0.00109269,0.00109269
8,263.272,2.96369,3.33977,3.76599,0.00193,0.40741,0.04547,0.01849,3.02882,3.90715,3.97769,0.00122319,0.00122319,0.00122319
9,294.165,2.94767,3.22396,3.69451,0.00228,0.48148,0.06396,0.02345,3.03962,3.84408,3.93176,0.00134656,0.00134656,0.00134656
10,326.139,2.92757,3.29187,3.62286,0.00211,0.44444,0.01275,0.00415,2.99198,3.74512,4.05217,0.0014628,0.0014628,0.0014628
11,357.731,2.94996,3.19629,3.55055,0.00228,0.48148,0.02748,0.00883,2.93218,3.7096,3.88638,0.00157192,0.00157192,0.00157192
12,388.978,2.89433,3.16877,3.58642,0.00386,0.81481,0.08827,0.03601,2.55262,3.50006,3.58224,0.0015644,0.0015644,0.0015644
13,419.647,2.83344,3.07495,3.45047,0.21995,0.14815,0.06973,0.03549,2.33479,3.97718,3.48015,0.0015248,0.0015248,0.0015248
14,452.857,2.7334,3.03122,3.38001,0.01746,0.55556,0.01598,0.00516,2.5828,4.82778,3.71063,0.0014852,0.0014852,0.0014852
15,486.106,2.80553,3.02078,3.43372,0.20571,0.22222,0.12003,0.04002,2.55717,4.51164,3.39744,0.0014456,0.0014456,0.0014456
16,518.9,2.76021,2.94925,3.37448,0.24891,0.37037,0.17254,0.03718,2.81081,8.7071,3.50862,0.001406,0.001406,0.001406
